MacroTrends Data Download,,
S&amp;P 500 Index - 90 Year Historical Chart,,
Note: Real datasets are adjusted for inflation using the headline Consumer Price Index (CPI) with the current month as the base.,,
,,
"Disclaimer and Terms of Use: Historical data is provided 'as is' and solely for informational purposes, not for trading purposes or advice.",,
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, ",,
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable",,
for any damages relating to your use of the data provided.,,
,,
,,
date,real,nominal
12/1/27,295.13,17.66
1/1/28,293.63,17.57
2/1/28,291.81,17.26
3/1/28,325.97,19.28
4/1/28,333.91,19.75
5/1/28,336.18,20
6/1/28,323.6,19.14
7/1/28,328.5,19.43
8/1/28,352.85,20.87
9/1/28,353.29,21.14
10/1/28,364.42,21.68
11/1/28,408.12,24.28
12/1/28,411.69,24.35
1/1/29,435.19,25.74
2/1/29,432.65,25.59
3/1/29,434.16,25.53
4/1/29,443.76,25.94
5/1/29,422.26,24.83
6/1/29,463.42,27.41
7/1/29,482.64,28.88
8/1/29,529.94,31.71
9/1/29,504.03,30.16
10/1/29,403.59,24.15
11/1/29,349.62,20.92
12/1/29,360.55,21.45
1/1/30,385.31,22.79
2/1/30,395.9,23.28
3/1/30,413.13,24.15
4/1/30,423.45,24.9
5/1/30,418.95,24.49
6/1/30,352.1,20.46
7/1/30,369.39,21.21
8/1/30,374.45,21.37
9/1/30,323.76,18.59
10/1/30,296.82,16.94
11/1/30,292.11,16.57
12/1/30,275.46,15.34
1/1/31,292.56,16.09
2/1/31,330.18,17.93
3/1/31,309.32,16.69
4/1/31,281.46,15.09
5/1/31,246.03,13.02
6/1/31,283.94,14.83
7/1/31,262.87,13.73
8/1/31,265.36,13.86
9/1/31,187.15,9.71
10/1/31,204.31,10.53
11/1/31,186.84,9.5
12/1/31,160.79,8.12
1/1/32,159.51,7.89
2/1/32,169.98,8.29
3/1/32,150.96,7.31
4/1/32,121.26,5.83
5/1/32,94.33,4.47
6/1/32,94.17,4.43
7/1/32,129.67,6.1
8/1/32,179.67,8.39
9/1/32,174.33,8.08
10/1/32,151.3,6.96
11/1/32,143.46,6.55
12/1/32,152.06,6.89
1/1/33,155.54,6.94
2/1/33,128.84,5.66
3/1/33,134.23,5.85
4/1/33,190.9,8.32
5/1/33,221.19,9.64
6/1/33,248.36,10.91
7/1/33,219.59,9.95
8/1/33,242.89,11.09
9/1/33,215.3,9.83
10/1/33,196.24,8.96
11/1/33,216.39,9.88
12/1/33,221.21,10.1
1/1/34,244.65,11.17
2/1/34,233.9,10.76
3/1/34,233.68,10.75
4/1/34,227.38,10.46
5/1/34,208.9,9.61
6/1/34,211.65,9.81
7/1/34,187.27,8.68
8/1/34,197.41,9.15
9/1/34,193.45,9.1
10/1/34,188.67,8.81
11/1/34,204.3,9.54
12/1/34,204.96,9.5
1/1/35,193.45,9.1
2/1/35,184.44,8.74
3/1/35,178.74,8.47
4/1/35,194.42,9.28
5/1/35,200.7,9.58
6/1/35,215.88,10.23
7/1/35,233.82,11.08
8/1/35,238.89,11.32
9/1/35,244.58,11.59
10/1/35,262.94,12.46
11/1/35,271.3,12.95
12/1/35,281.36,13.43
1/1/36,299.79,14.31
2/1/36,304.82,14.55
3/1/36,314.86,14.92
4/1/36,290.59,13.77
5/1/36,303.88,14.4
6/1/36,310.9,14.84
7/1/36,329.66,15.85
8/1/36,330.21,15.99
9/1/36,330.62,16.01
10/1/36,355.4,17.21
11/1/36,356.85,17.28
12/1/36,354.78,17.18
1/1/37,365.59,17.83
2/1/37,370.92,18.09
3/1/37,364.85,17.92
4/1/37,332.17,16.43
5/1/37,326.45,16.26
6/1/37,309.19,15.4
7/1/37,338.56,16.98
8/1/37,319.82,16.04
9/1/37,272.48,13.76
10/1/37,244.75,12.36
11/1/37,221.52,11.11
12/1/37,211.81,10.55
1/1/38,217.65,10.69
2/1/38,232.52,11.34
3/1/38,174.28,8.5
4/1/38,197.49,9.7
5/1/38,190.07,9.27
6/1/38,237.03,11.56
7/1/38,254.25,12.4
8/1/38,247.28,12.06
9/1/38,250.97,12.24
10/1/38,271.97,13.17
11/1/38,262.89,12.73
12/1/38,272.8,13.21
1/1/39,254.01,12.3
2/1/39,264.15,12.7
3/1/39,228.37,10.98
4/1/39,228.77,10.92
5/1/39,243.02,11.6
6/1/39,227.52,10.86
7/1/39,252.24,12.04
8/1/39,234.22,11.18
9/1/39,266.96,13.02
10/1/39,264.95,12.83
11/1/39,251.94,12.2
12/1/39,257.93,12.49
