,SchoolName,Year,State,number_grads,state_rank
0,"AKRON, UNIVERSITY OF",2012,Ohio,100,1
1,"ALABAMA, UNIVERSITY OF",2012,Alabama,106,1
2,ALBANY LAW SCHOOL OF UNION UNIVERSITY,2012,New York,154,1
3,AMERICAN UNIVERSITY,2012,District Of Columbia,170,1
4,APPALACHIAN SCHOOL OF LAW,2012,Virginia,24,1
5,ARIZONA STATE UNIVERSITY,2012,Arizona,155,1
6,ARIZONA SUMMIT LAW SCHOOL,2012,Arizona,126,1
7,"ARIZONA, UNIVERSITY OF",2012,Arizona,89,1
8,"ARKANSAS, FAYETTEVILLE, UNIVERSITY OF",2012,Arkansas,81,1
9,"ARKANSAS, LITTLE ROCK, UNIVERSITY OF",2012,Arkansas,93,1
10,ATLANTA'S JOHN MARSHALL LAW SCHOOL,2012,Georgia,131,1
11,AVE MARIA SCHOOL OF LAW,2012,Florida,54,1
12,"BALTIMORE, UNIVERSITY OF",2012,Maryland,238,1
13,BARRY UNIVERSITY,2012,Florida,110,1
14,BAYLOR UNIVERSITY,2012,Texas,117,1
15,BELMONT UNIVERSITY,2012,,0,1
16,BOSTON COLLEGE,2012,Massachusetts,116,1
17,BOSTON UNIVERSITY,2012,Massachusetts,110,1
18,BRIGHAM YOUNG UNIVERSITY,2012,Utah,71,1
19,BROOKLYN LAW SCHOOL,2012,New York,283,1
20,CALIFORNIA WESTERN SCHOOL OF LAW,2012,California,138,1
21,"CALIFORNIA-BERKELEY, UNIVERSITY OF",2012,California,182,1
22,"CALIFORNIA-DAVIS, UNIVERSITY OF",2012,California,161,1
23,"CALIFORNIA-HASTINGS, UNIVERSITY OF",2012,California,300,1
24,"CALIFORNIA-IRVINE, UNIVERSITY OF",2012,CALIFORNIA,37,1
25,"CALIFORNIA-LOS ANGELES, UNIVERSITY OF",2012,California,250,1
26,CAMPBELL UNIVERSITY,2012,North Carolina,123,1
27,CAPITAL UNIVERSITY,2012,Ohio,149,1
28,CARDOZO SCHOOL OF LAW,2012,New York,236,1
29,CASE WESTERN RESERVE UNIVERSITY,2012,OHIO,66,1
30,CATHOLIC UNIVERSITY OF AMERICA,2012,District Of Columbia,89,1
31,CHAPMAN UNIVERSITY,2012,California,116,1
32,CHARLESTON SCHOOL OF LAW,2012,South Carolina,136,1
33,CHARLOTTE SCHOOL OF LAW,2012,North Carolina,154,1
34,"CHICAGO, UNIVERSITY OF",2012,Illinois,76,1
35,CHICAGO-KENT COLLEGE OF LAW-IIT,2012,Illinois,205,1
36,"CINCINNATI, UNIVERSITY OF",2012,Ohio,89,1
37,CITY UNIVERSITY OF NEW YORK,2012,New York,90,1
38,CLEVELAND STATE UNIVERSITY,2012,Ohio,126,1
39,"COLORADO, UNIVERSITY OF",2012,Colorado,136,1
40,COLUMBIA UNIVERSITY,2012,New York,316,1
41,"CONNECTICUT, UNIVERSITY OF",2012,Connecticut,118,1
42,CORNELL UNIVERSITY,2012,New York,105,1
43,CREIGHTON UNIVERSITY,2012,Nebraska,73,1
44,"DAYTON, UNIVERSITY OF",2012,Ohio,69,1
45,"DENVER, UNIVERSITY OF",2012,Colorado,236,1
46,DEPAUL UNIVERSITY,2012,Illinois,234,1
47,"DETROIT MERCY, UNIVERSITY OF",2012,Michigan,94,1
48,DISTRICT OF COLUMBIA,2012,District Of Columbia,18,1
49,DRAKE UNIVERSITY,2012,Iowa,97,1
50,DREXEL UNIVERSITY,2012,Pennsylvania,72,1
51,DUKE UNIVERSITY,2012,New York,48,1
52,DUQUESNE UNIVERSITY,2012,Pennsylvania,139,1
53,ELON UNIVERSITY,2012,North Carolina,77,1
54,EMORY UNIVERSITY,2012,Georgia,121,1
55,FAULKNER UNIVERSITY,2012,Alabama,46,1
56,FLORIDA A&M UNIVERSITY,2012,Florida,84,1
57,FLORIDA COASTAL SCHOOL OF LAW,2012,Florida,243,1
58,FLORIDA INTERNATIONAL UNIVERSITY,2012,Florida,140,1
59,FLORIDA STATE UNIVERSITY,2012,Florida,215,1
60,"FLORIDA, UNIVERSITY OF",2012,Florida,222,1
61,FORDHAM UNIVERSITY,2012,New York,367,1
62,GEORGE MASON UNIVERSITY,2012,Virginia,91,1
63,GEORGE WASHINGTON UNIVERSITY,2012,District Of Columbia,277,1
64,GEORGETOWN UNIVERSITY,2012,District Of Columbia,256,1
65,GEORGIA STATE UNIVERSITY,2012,Georgia,159,1
66,"GEORGIA, UNIVERSITY OF",2012,GEORGIA,152,1
67,GOLDEN GATE UNIVERSITY,2012,California,116,1
68,GONZAGA UNIVERSITY,2012,Washington,77,1
69,HAMLINE UNIVERSITY,2012,Minnesota,133,1
70,HARVARD UNIVERSITY,2012,New York,156,1
71,"HAWAII, UNIVERSITY OF",2012,Hawaii,75,1
72,HOFSTRA UNIVERSITY,2012,New York,224,1
73,"HOUSTON, UNIVERSITY OF",2012,Texas,217,1
74,HOWARD UNIVERSITY,2012,District Of Columbia,47,1
75,"IDAHO, UNIVERSITY OF",2012,Idaho,62,1
76,"ILLINOIS, UNIVERSITY OF",2012,Illinois,110,1
